1	скажите	сказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	0	root	_	@vvp1934m-words#@vvp1934m#1.725#2.242
2	пожалуйста	пожалуйста	ADV	_	Degree=Pos	1	advmod	_	@vvp1934m-words#@vvp1934m#2.242#2.759
3	/	/	PUNCT	_	_	8	punct	_	@vvp1934m-words#@vvp1934m#2.759#3.276
4	когда	когда	SCONJ	_	_	8	mark	_	@vvp1934m-words#@vvp1934m#3.276#3.793
5	/	/	PUNCT	_	_	4	punct	_	@vvp1934m-words#@vvp1934m#3.793#4.31
6	мм	миллиметр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	8	parataxis	_	@vvp1934m-words#@vvp1934m#4.31#4.827
7	/	/	PUNCT	_	_	6	punct	_	@vvp1934m-words#@vvp1934m#4.827#5.344
8	посыпались	посыпаться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	1	advcl	_	@vvp1934m-words#@vvp1934m#5.344#5.861
9	обвинения	обвинение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	8	nsubj	_	@vvp1934m-words#@vvp1934m#5.861#6.378
10	/	/	PUNCT	_	_	11	punct	_	@vvp1934m-words#@vvp1934m#6.378#6.895
11	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	9	nmod	_	@vvp1934m-words#@vvp1934m#6.895#7.412
12	/	/	PUNCT	_	_	15	punct	_	@vvp1934m-words#@vvp1934m#7.412#7.929
13	в	в	ADP	_	_	15	case	_	@vvp1934m-words#@vvp1934m#7.929#8.446
14	нашу	наш	DET	_	Case=Acc|Gender=Fem|Number=Sing	15	det	_	@vvp1934m-words#@vvp1934m#8.446#8.963
15	сторону	сторона	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	8	obl	_	@vvp1934m-words#@vvp1934m#8.963#9.48
16	в	в	ADP	_	_	18	case	_	@vvp1934m-words#@vvp1934m#9.48#9.997
17	широком	широкий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	18	amod	_	@vvp1934m-words#@vvp1934m#9.997#10.514
18	применение	применение	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	8	obl	_	@vvp1934m-words#@vvp1934m#10.514#11.031
19	допинга	допинг	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	18	nmod	_	@vvp1934m-words#@vvp1934m#11.031#11.548
20	/	/	PUNCT	_	_	27	punct	_	@vvp1934m-words#@vvp1934m#11.548#12.065
21	в	в	ADP	_	_	23	case	_	@vvp1934m-words#@vvp1934m#12.065#12.582
22	нашем	наш	DET	_	Case=Loc|Gender=Masc|Number=Sing	23	det	_	@vvp1934m-words#@vvp1934m#12.582#13.099
23	спорте	спорт	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	27	obl	_	@vvp1934m-words#@vvp1934m#13.099#13.635
24	обвинения	обвинение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	27	nsubj:pass	_	@vvp1934m-words#@vvp1934m#15.314#15.869
25	которые	который	PRON	_	Case=Nom	24	nmod	_	@vvp1934m-words#@vvp1934m#15.869#16.424
26	были	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	27	aux:pass	_	@vvp1934m-words#@vvp1934m#16.424#16.979
27	поддержаны	поддержать	VERB	_	Aspect=Perf|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	19	acl	_	@vvp1934m-words#@vvp1934m#16.979#17.534
28	международным	международный	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	30	amod	_	@vvp1934m-words#@vvp1934m#17.534#18.089
29	олимпийским	олимпийский	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	30	amod	_	@vvp1934m-words#@vvp1934m#18.089#18.644
30	комитетом	комитет	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	27	obl	_	@vvp1934m-words#@vvp1934m#18.644#19.203
31	и	и	CCONJ	_	_	40	cc	_	@vvp1934m-words#@vvp1934m#19.878#20.395
32	в	в	ADP	_	_	33	case	_	@vvp1934m-words#@vvp1934m#20.395#20.912
33	результате	результат	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	40	obl	_	@vvp1934m-words#@vvp1934m#20.912#21.429
34	/	/	PUNCT	_	_	35	punct	_	@vvp1934m-words#@vvp1934m#21.429#21.946
